,examine,id,members,lowalch,limit,value,highalch,icon,name
1052,1 dose of divine bastion potion.,24644,True,1.0,2000.0,1,1.0,Divine bastion potion(1).png,Divine bastion potion(1)
1053,2 doses of divine bastion potion.,24641,True,1.0,2000.0,1,1.0,Divine bastion potion(2).png,Divine bastion potion(2)
1054,3 doses of divine bastion potion.,24638,True,1.0,2000.0,1,1.0,Divine bastion potion(3).png,Divine bastion potion(3)
1055,4 doses of divine bastion potion.,24635,True,1.0,2000.0,1,1.0,Divine bastion potion(4).png,Divine bastion potion(4)
1056,1 dose of divine battlemage potion.,24632,True,1.0,2000.0,1,1.0,Divine battlemage potion(1).png,Divine battlemage potion(1)
1057,2 doses of divine battlemage potion.,24629,True,1.0,2000.0,1,1.0,Divine battlemage potion(2).png,Divine battlemage potion(2)
1058,3 doses of divine battlemage potion.,24626,True,1.0,2000.0,1,1.0,Divine battlemage potion(3).png,Divine battlemage potion(3)
1059,4 doses of divine battlemage potion.,24623,True,1.0,2000.0,1,1.0,Divine battlemage potion(4).png,Divine battlemage potion(4)
1060,1 dose of divine magic potion.,23754,True,16.0,2000.0,40,24.0,Divine magic potion(1).png,Divine magic potion(1)
1061,2 doses of divine magic potion.,23751,True,36.0,2000.0,90,54.0,Divine magic potion(2).png,Divine magic potion(2)
1062,3 doses of divine magic potion.,23748,True,68.0,2000.0,170,102.0,Divine magic potion(3).png,Divine magic potion(3)
1063,4 doses of divine magic potion.,23745,True,100.0,2000.0,250,150.0,Divine magic potion(4).png,Divine magic potion(4)
1064,1 dose of divine ranging potion.,23742,True,16.0,2000.0,40,24.0,Divine ranging potion(1).png,Divine ranging potion(1)
1065,2 doses of divine ranging potion.,23739,True,36.0,2000.0,90,54.0,Divine ranging potion(2).png,Divine ranging potion(2)
1066,3 doses of divine ranging potion.,23736,True,68.0,2000.0,170,102.0,Divine ranging potion(3).png,Divine ranging potion(3)
1067,4 doses of divine ranging potion.,23733,True,100.0,2000.0,250,150.0,Divine ranging potion(4).png,Divine ranging potion(4)
1068,1 dose of divine super attack potion.,23706,True,16.0,2000.0,40,24.0,Divine super attack potion(1).png,Divine super attack potion(1)
1069,2 doses of divine super attack potion.,23703,True,36.0,2000.0,90,54.0,Divine super attack potion(2).png,Divine super attack potion(2)
1070,3 doses of divine super attack potion.,23700,True,68.0,2000.0,170,102.0,Divine super attack potion(3).png,Divine super attack potion(3)
1071,4 doses of divine super attack potion.,23697,True,100.0,2000.0,250,150.0,Divine super attack potion(4).png,Divine super attack potion(4)
1072,1 dose of divine super combat potion.,23694,True,16.0,2000.0,40,24.0,Divine super combat potion(1).png,Divine super combat potion(1)
1073,2 doses of divine super combat potion.,23691,True,36.0,2000.0,90,54.0,Divine super combat potion(2).png,Divine super combat potion(2)
1074,3 doses of divine super combat potion.,23688,True,68.0,2000.0,170,102.0,Divine super combat potion(3).png,Divine super combat potion(3)
1075,4 doses of divine super combat potion.,23685,True,100.0,2000.0,250,150.0,Divine super combat potion(4).png,Divine super combat potion(4)
1076,1 dose of divine super defence potion.,23730,True,16.0,2000.0,40,24.0,Divine super defence potion(1).png,Divine super defence potion(1)
1077,2 doses of divine super defence potion.,23727,True,36.0,2000.0,90,54.0,Divine super defence potion(2).png,Divine super defence potion(2)
1078,3 doses of divine super defence potion.,23724,True,68.0,2000.0,170,102.0,Divine super defence potion(3).png,Divine super defence potion(3)
1079,4 doses of divine super defence potion.,23721,True,100.0,2000.0,250,150.0,Divine super defence potion(4).png,Divine super defence potion(4)
1080,1 dose of divine super strength potion.,23718,True,16.0,2000.0,40,24.0,Divine super strength potion(1).png,Divine super strength potion(1)
1081,2 doses of divine super strength potion.,23715,True,36.0,2000.0,90,54.0,Divine super strength potion(2).png,Divine super strength potion(2)
1082,3 doses of divine super strength potion.,23712,True,68.0,2000.0,170,102.0,Divine super strength potion(3).png,Divine super strength potion(3)
1083,4 doses of divine super strength potion.,23709,True,100.0,2000.0,250,150.0,Divine super strength potion(4).png,Divine super strength potion(4)
1084,Lets you get away with it - sometimes.,21143,True,420.0,10000.0,1050,630.0,Dodgy necklace.png,Dodgy necklace
1085,"A tasty herb, good for seasoning.",1573,True,1.0,15.0,2,1.0,Doogle leaves.png,Doogle leaves
1086,This fires crossbow bolts.,8880,True,800.0,70.0,2000,1200.0,Dorgeshuun crossbow.png,Dorgeshuun crossbow
1087,A black piece of cloth on a string.,19727,True,1.0,4.0,2,1.0,Double eye patch.png,Double eye patch
1088,It looks like this could be attached to a shield somehow.,11286,True,300000.0,5.0,750000,450000.0,Draconic visage.png,Draconic visage
1089,A two-handed Dragon Sword.,7158,True,88000.0,8.0,220000,132000.0,Dragon 2h sword.png,Dragon 2h sword
1090,"A set containing a full helm, platebody, legs and kiteshield.",21882,True,200000.0,8.0,500000,300000.0,Dragon armour set (lg).png,Dragon armour set (lg)
1091,"A set containing a full helm, platebody, skirt and kiteshield.",21885,True,200000.0,8.0,500000,300000.0,Dragon armour set (sk).png,Dragon armour set (sk)
1092,An arrow made using a dragon's talon.,11212,True,320.0,11000.0,800,480.0,Dragon arrow 5.png,Dragon arrow
1093,Venomous-looking arrows.,11227,True,320.0,11000.0,800,480.0,Dragon arrow(p) 5.png,Dragon arrow(p)
1094,Venomous-looking arrows.,11228,True,320.0,11000.0,800,480.0,Dragon arrow(p+) 5.png,Dragon arrow(p+)
1095,Venomous-looking arrows.,11229,True,320.0,11000.0,800,480.0,Dragon arrow(p++) 5.png,Dragon arrow(p++)
1096,"Dragon talons, usable as arrowheads.",11237,True,200.0,10000.0,500,300.0,Dragon arrowtips.png,Dragon arrowtips
1097,A very powerful axe.,6739,True,22000.0,40.0,55000,33000.0,Dragon axe.png,Dragon axe
1098,A vicious looking axe.,1377,True,80000.0,70.0,200000,120000.0,Dragon battleaxe.png,Dragon battleaxe
1099,A glass of bitter.,1911,True,1.0,2000.0,2,1.0,Dragon bitter.png,Dragon bitter
1100,How does it all fit in there?,8524,True,4.0,500.0,10,6.0,Dragon bitter (flatpack).png,Dragon bitter (flatpack)
1101,This keg contains 4 pints of Dragon Bitter.,5809,True,1.0,2000.0,1,1.0,Dragon bitter(4).png,Dragon bitter(4)
1102,This looks a good deal stronger than normal Dragon Bitter.,5745,True,1.0,2000.0,2,1.0,Dragon bitter(m).png,Dragon bitter(m)
1103,This keg contains 4 pints of mature Dragon Bitter.,5889,True,1.0,2000.0,1,1.0,Dragon bitter(m4).png,Dragon bitter(m4)
1104,Dragon crossbow bolts.,21905,True,170.0,11000.0,425,255.0,Dragon bolts 5.png,Dragon bolts
1105,Some poisoned dragon bolts.,21924,True,172.0,11000.0,430,258.0,Dragon bolts (p) 5.png,Dragon bolts (p)
1106,Some poisoned dragon bolts.,21926,True,174.0,11000.0,435,261.0,Dragon bolts (p+) 5.png,Dragon bolts (p+)
1107,Some poisoned dragon bolts.,21928,True,176.0,11000.0,440,264.0,Dragon bolts (p++) 5.png,Dragon bolts (p++)
1108,Unfeathered dragon crossbow bolts.,21930,True,56.0,13000.0,141,84.0,Dragon bolts (unf) 5.png,Dragon bolts (unf)
1109,These would feed a dog for months!,536,True,64.0,7500.0,160,96.0,Dragon bones.png,Dragon bones
1110,These will protect my feet.,11840,True,8000.0,70.0,20000,12000.0,Dragon boots.png,Dragon boots
1111,Use on some dragon boots to make them look fancier!,22231,True,2000.0,4.0,5000,3000.0,Dragon boots ornament kit.png,Dragon boots ornament kit
1112,An onyx topped cane.,12373,True,12000.0,4.0,30000,18000.0,Dragon cane.png,Dragon cane
1113,A series of connected metal rings.,3140,True,100000.0,70.0,250000,150000.0,Dragon chainbody.png,Dragon chainbody
1114,Use on a dragon chainbody to make it look fancier!,12534,True,2000.0,4.0,5000,3000.0,Dragon chainbody ornament kit.png,Dragon chainbody ornament kit
1115,A set of fighting claws.,13652,True,82000.0,8.0,205000,123000.0,Dragon claws.png,Dragon claws
1116,A dragon crossbow.,21902,True,21600.0,70.0,54000,32400.0,Dragon crossbow.png,Dragon crossbow
1117,An unstrung dragon crossbow.,21921,True,12000.0,10000.0,30000,18000.0,Dragon crossbow (u).png,Dragon crossbow (u)
1118,A powerful dagger.,1215,True,12000.0,70.0,30000,18000.0,Dragon dagger.png,Dragon dagger
1119,A powerful dagger.,1231,True,9600.0,70.0,24000,14400.0,Dragon dagger(p).png,Dragon dagger(p)
1120,A powerful dagger.,5680,True,9600.0,70.0,24000,14400.0,Dragon dagger(p+).png,Dragon dagger(p+)
1121,A powerful dagger.,5698,True,9600.0,70.0,24000,14400.0,Dragon dagger(p++).png,Dragon dagger(p++)
1122,A deadly throwing dart with a dragon tip.,11230,True,200.0,11000.0,500,300.0,Dragon dart.png,Dragon dart
1123,A deadly looking dragon dart tip - needs feathers for flight.,11232,True,100.0,11000.0,250,150.0,Dragon dart tip.png,Dragon dart tip
1124,A deadly poisoned dart with a dragon tip.,11231,True,200.0,11000.0,500,300.0,Dragon dart(p).png,Dragon dart(p)
1125,A deadly poisoned dart with a dragon tip.,11233,True,200.0,11000.0,500,300.0,Dragon dart(p+).png,Dragon dart(p+)
1126,A deadly poisoned dart with a dragon tip.,11234,True,200.0,11000.0,500,300.0,Dragon dart(p++).png,Dragon dart(p++)
1127,Use on the dragon defender to trim it with gold.,20143,True,2000.0,4.0,5000,3000.0,Dragon defender ornament kit.png,Dragon defender ornament kit
1128,Protects your head and looks impressive too.,11335,True,60000.0,8.0,150000,90000.0,Dragon full helm.png,Dragon full helm
1129,Use on a dragon full helm to make it look fancier!,12538,True,2000.0,4.0,5000,3000.0,Dragon full helm ornament kit.png,Dragon full helm ornament kit
1130,A dragon halberd.,3204,True,100000.0,70.0,250000,150000.0,Dragon halberd.png,Dragon halberd
1131,A very powerful harpoon.,21028,True,22000.0,5.0,55000,33000.0,Dragon harpoon.png,Dragon harpoon
1132,A one-handed dragon hasta.,22731,True,24960.0,70.0,62400,37440.0,Dragon hasta.png,Dragon hasta
1133,"A poison-tipped, one-handed dragon hasta",22734,True,24960.0,70.0,62400,37440.0,Dragon hasta(p).png,Dragon hasta(p)
1134,"A poison-tipped, one-handed dragon hasta",22737,True,24960.0,70.0,62400,37440.0,Dragon hasta(p+).png,Dragon hasta(p+)
1135,"A poison-tipped, one-handed dragon hasta",22740,True,24960.0,70.0,62400,37440.0,Dragon hasta(p++).png,Dragon hasta(p++)
1136,A crossbow used for dragon hunting.,21012,True,32000.0,8.0,80000,48000.0,Dragon hunter crossbow.png,Dragon hunter crossbow
1137,A lance that is exceptionally good at killing dragons and their ilk.,22978,True,120000.0,8.0,300000,180000.0,Dragon hunter lance.png,Dragon hunter lance
1138,Dragon impling in a jar.,11256,True,20.0,18000.0,50,30.0,Dragon impling jar.png,Dragon impling jar
1139,A dragon tipped javelin.,19484,True,180.0,11000.0,450,270.0,Dragon javelin.png,Dragon javelin
1140,Needs a shaft.,19582,True,780.0,10000.0,1950,1170.0,Dragon javelin heads 5.png,Dragon javelin heads
1141,A dragon tipped javelin.,19486,True,180.0,11000.0,450,270.0,Dragon javelin(p).png,Dragon javelin(p)
1142,A dragon tipped javelin.,19488,True,180.0,11000.0,450,270.0,Dragon javelin(p+).png,Dragon javelin(p+)
1143,A dragon tipped javelin.,19490,True,180.0,11000.0,450,270.0,Dragon javelin(p++).png,Dragon javelin(p++)
1144,An ancient and powerful looking Dragon Kiteshield.,21895,True,640000.0,70.0,1600000,960000.0,Dragon kiteshield.png,Dragon kiteshield
1145,Use on a dragon kiteshield to make it look fancier!,22239,True,2000.0,4.0,5000,3000.0,Dragon kiteshield ornament kit.png,Dragon kiteshield ornament kit
1146,A finely balanced and powerful throwing knife.,22804,True,66.0,11000.0,167,100.0,Dragon knife.png,Dragon knife
1147,A finely balanced and powerful throwing knife.,22806,True,66.0,7000.0,166,99.0,Dragon knife(p).png,Dragon knife(p)
1148,A finely balanced and powerful throwing knife.,22808,True,66.0,7000.0,166,99.0,Dragon knife(p+).png,Dragon knife(p+)
1149,A finely balanced and powerful throwing knife.,22810,True,66.0,7000.0,166,99.0,Dragon knife(p++).png,Dragon knife(p++)
1150,Use on dragon platelegs or plateskirt to make them look fancier!,12536,True,2000.0,4.0,5000,3000.0,Dragon legs+skirt ornament kit.png,Dragon legs/skirt ornament kit
1151,A pair of dragon crossbow limbs.,21918,True,14000.0,10000.0,35000,21000.0,Dragon limbs.png,Dragon limbs
1152,A very powerful sword.,1305,True,40000.0,70.0,100000,60000.0,Dragon longsword.png,Dragon longsword
1153,A spiky mace.,1434,True,20000.0,70.0,50000,30000.0,Dragon mace.png,Dragon mace
1154,Makes the wearer pretty intimidating.,1149,True,40000.0,8.0,100000,60000.0,Dragon med helm.png,Dragon med helm
1155,A badly damaged lump of dragon metal.,22103,True,60000.0,50.0,150000,90000.0,Dragon metal lump.png,Dragon metal lump
1156,A badly damaged shard of dragon metal.,22097,True,480000.0,50.0,1200000,720000.0,Dragon metal shard.png,Dragon metal shard
1157,A badly damaged slice of dragon metal.,22100,True,40000.0,50.0,100000,60000.0,Dragon metal slice.png,Dragon metal slice
1158,I wonder if this is valuable.,1664,True,7350.0,10000.0,18375,11025.0,Dragon necklace.png,Dragon necklace
1159,"If rocks could feel fear, they'd fear this.",11920,True,39180.0,40.0,97950,58770.0,Dragon pickaxe.png,Dragon pickaxe
1160,Makes a dragon pickaxe more beautiful.,12800,True,640.0,50.0,1600,960.0,Dragon pickaxe upgrade kit.png,Dragon pickaxe upgrade kit
1161,Provides excellent protection.,21892,True,800000.0,70.0,2000000,1200000.0,Dragon platebody.png,Dragon platebody
1162,Use on a dragon platebody to make it look fancier!,22236,True,2000.0,4.0,5000,3000.0,Dragon platebody ornament kit.png,Dragon platebody ornament kit
1163,These look pretty heavy.,4087,True,108000.0,70.0,270000,162000.0,Dragon platelegs.png,Dragon platelegs
1164,This looks pretty heavy.,4585,True,108000.0,70.0,270000,162000.0,Dragon plateskirt.png,Dragon plateskirt
1165,Finely ground scale of Dragon.,241,True,20.0,13000.0,52,31.0,Dragon scale dust.png,Dragon scale dust
1166,"A vicious, curved sword.",4587,True,40000.0,70.0,100000,60000.0,Dragon scimitar.png,Dragon scimitar
1167,Use on the dragon scimitar to trim it with gold.,20002,True,2000.0,4.0,5000,3000.0,Dragon scimitar ornament kit.png,Dragon scimitar ornament kit
1168,A dragon tipped spear.,1249,True,24960.0,70.0,62400,37440.0,Dragon spear.png,Dragon spear
1169,A poisoned dragon tipped spear.,1263,True,24960.0,70.0,62400,37440.0,Dragon spear(p).png,Dragon spear(p)
1170,A poisoned dragon tipped spear.,5716,True,24960.0,70.0,62400,37440.0,Dragon spear(p+).png,Dragon spear(p+)
1171,A poisoned dragon tipped spear.,5730,True,24960.0,70.0,62400,37440.0,Dragon spear(p++).png,Dragon spear(p++)
1172,An ancient and powerful looking Dragon Square shield.,1187,True,200000.0,70.0,500000,300000.0,Dragon sq shield.png,Dragon sq shield
1173,Use on a dragon square shield to make it look fancier!,12532,True,2000.0,4.0,5000,3000.0,Dragon sq shield ornament kit.png,Dragon sq shield ornament kit
1174,A razor sharp sword.,21009,True,28800.0,70.0,72001,43200.0,Dragon sword.png,Dragon sword
1175,A razor sharp throwing axe.,20849,True,300.0,11000.0,750,450.0,Dragon thrownaxe.png,Dragon thrownaxe
1176,"Spikey, close combat weapon.",13576,True,48000.0,8.0,120000,72000.0,Dragon warhammer.png,Dragon warhammer
1177,A necklace made out of dragon bones.,22111,True,32000.0,8.0,80000,48000.0,Dragonbone necklace.png,Dragonbone necklace
1178,"A heavy shield with a snarling, draconic visage.",11284,True,800000.0,8.0,2000000,1200000.0,Dragonfire shield (uncharged).png,Dragonfire shield
1179,"A light shield with a haunting, skeletal visage.",22003,True,800000.0,8.0,2000000,1200000.0,Dragonfire ward (uncharged).png,Dragonfire ward
1180,A large ripe dragonfruit.,22929,True,38.0,11000.0,95,57.0,Dragonfruit.png,Dragonfruit
1181,Mmm dragonfruit pie.,22795,True,28.0,10000.0,70,42.0,Dragonfruit pie.png,Dragonfruit pie
1182,This sapling is ready to be replanted in a fruit tree patch.,22866,True,1.0,200.0,1,1.0,Dragonfruit sapling.png,Dragonfruit sapling
1183,Plant in a plantpot of soil to grow a sapling.,22877,True,172.0,200.0,430,258.0,Dragonfruit tree seed 5.png,Dragonfruit tree seed
1184,This looks valuable.,1615,True,4000.0,11000.0,10000,6000.0,Dragonstone.png,Dragonstone
1185,I wonder if I can get this enchanted.,1702,True,7050.0,10000.0,17625,10575.0,Dragonstone amulet.png,Dragonstone amulet
1186,It needs a string so I can wear it.,1683,True,7050.0,10000.0,17625,10575.0,Dragonstone amulet (u).png,Dragonstone amulet (u)
1187,"A set containing dragonstone helmet, platebody, platelegs, boots and gauntlets.",23667,True,32000.0,,80000,48000.0,Dragonstone armour set.png,Dragonstone armour set
1188,Dragonstone bolt tips.,9193,True,266.0,11000.0,667,400.0,Dragonstone bolt tips 5.png,Dragonstone bolt tips
1189,Dragonstone tipped Runite crossbow bolts.,9341,True,386.0,11000.0,967,580.0,Dragonstone bolts 5.png,Dragonstone bolts
1190,Enchanted Dragonstone tipped Runite Crossbow Bolts.,9244,True,425.0,11000.0,1063,637.0,Dragonstone bolts (e) 5.png,Dragonstone bolts (e)
1191,A stylish pair of rune boots inlaid with dragonstones.,24043,True,5000.0,,12500,7500.0,Dragonstone boots.png,Dragonstone boots
1192,I wonder if this is valuable.,11115,True,7650.0,10000.0,19125,11475.0,Dragonstone bracelet.png,Dragonstone bracelet
1193,"Dragon crossbow bolts, tipped with dragonstone. Double dragon!",21971,True,398.0,11000.0,995,597.0,Dragonstone dragon bolts 5.png,Dragonstone dragon bolts
1194,"Enchanted Dragon crossbow bolts, tipped with dragonstone. Double dragon!",21948,True,460.0,11000.0,1150,690.0,Dragonstone dragon bolts (e) 5.png,Dragonstone dragon bolts (e)
1195,A stylish rune full helm inlaid with dragonstones.,24034,False,14080.0,,35200,21120.0,Dragonstone full helm.png,Dragonstone full helm
1196,A stylish pair of rune gauntlets inlaid with dragonstones.,24046,True,5000.0,,12500,7500.0,Dragonstone gauntlets.png,Dragonstone gauntlets
1197,A stylish rune platebody inlaid with dragonstones.,24037,False,26000.0,,65000,39000.0,Dragonstone platebody.png,Dragonstone platebody
1198,A stylish pair of rune platelegs inlaid with dragonstones.,24040,False,25600.0,,64000,38400.0,Dragonstone platelegs.png,Dragonstone platelegs
1199,A valuable ring.,1645,True,7050.0,10000.0,17625,10575.0,Dragonstone ring.png,Dragonstone ring
1200,The bones of a ferocious Drake.,22783,True,64.0,7500.0,160,96.0,Drake bones.png,Drake bones
1201,The claw of a ferocious drake. They could be combined with the boots of stone.,22957,True,40000.0,15.0,100000,60000.0,Drake's claw.png,Drake's claw
1202,The tooth of a ferocious drake. They could be combined with holy sandals.,22960,True,40000.0,70.0,100000,60000.0,Drake's tooth.png,Drake's tooth
1203,A teleport to Draynor Manor.,19615,True,1.0,10000.0,1,1.0,Draynor manor teleport (tablet).png,Draynor manor teleport (tablet)
1204,"A very large net, too big to be used by hand.",21652,True,8.0,600.0,20,12.0,Drift net.png,Drift net
1205,Keeps a druid's knees nice and warm.,538,True,12.0,125.0,30,18.0,Druid's robe.png,Druid's robe
1206,I feel closer to the gods when I am wearing this.,540,True,16.0,125.0,40,24.0,Druid's robe top.png,Druid's robe top
1207,A warm creamy alcoholic beverage.,2092,True,12.0,2000.0,30,18.0,Drunk dragon.png,Drunk dragon
1208,A pair of aggressive Sai.,23206,True,2400.0,8.0,6000,3600.0,Dual sai.png,Dual sai
1209,It's a slightly magical stick.,20736,True,6200.0,8.0,15500,9300.0,Dust battlestaff.png,Dust battlestaff
1210,A combined Air and Earth Rune.,4696,True,8.0,12000.0,20,12.0,Dust rune.png,Dust rune
1211,A set containing the four parts of the Dwarf Multicannon.,12863,True,240000.0,40.0,600000,360000.0,Dwarf cannon set.png,Dwarf cannon set
1212,A powerful herb.,267,True,28.0,11000.0,70,42.0,Dwarf weed.png,Dwarf weed
1213,I need another ingredient to finish this Dwarf Weed potion.,109,True,28.0,10000.0,70,42.0,Dwarf weed potion (unf).png,Dwarf weed potion (unf)
1214,A dwarf weed seed - plant in a herb patch.,5303,True,2.0,200.0,6,3.0,Dwarf weed seed 5.png,Dwarf weed seed
1215,A sturdy helmet that belonged to Rupert the Beard.,11200,True,24000.0,50.0,60000,36000.0,Dwarven helmet.png,Dwarven helmet
1216,A pint of thick dark beer.,1913,False,1.0,2000.0,2,1.0,Dwarven stout.png,Dwarven stout
1217,This keg contains 4 pints of Dwarven Stout.,5777,True,1.0,2000.0,1,1.0,Dwarven stout(4).png,Dwarven stout(4)
1218,This looks a good deal stronger than normal Dwarven Stout.,5747,True,1.0,2000.0,2,1.0,Dwarven stout(m).png,Dwarven stout(m)
1219,This keg contains 4 pints of mature Dwarven Stout.,5857,True,1.0,2000.0,1,1.0,Dwarven stout(m4).png,Dwarven stout(m4)
1220,Some rather pretty blue berries.,2126,True,1.0,13000.0,4,2.0,Dwellberries.png,Dwellberries
1221,A dwellberry bush seed - plant in a bush patch.,5103,True,10.0,600.0,25,15.0,Dwellberry seed 5.png,Dwellberry seed
1222,"A pot of dynamite for blast mining, with a fuse ready to light.",13573,True,40.0,13000.0,100,60.0,Dynamite.png,Dynamite
1223,These will protect my ears from loud noise.,4166,True,80.0,70.0,200,120.0,Earmuffs.png,Earmuffs
1224,It's a slightly magical stick.,1399,True,6200.0,18000.0,15500,9300.0,Earth battlestaff.png,Earth battlestaff
1225,Earth impling in a jar.,11244,True,20.0,18000.0,50,30.0,Earth impling jar.png,Earth impling jar
1226,A magic glowing orb.,575,True,120.0,11000.0,300,180.0,Earth orb.png,Earth orb
1227,One of the 4 basic elemental Runes.,557,False,1.0,50000.0,4,2.0,Earth rune.png,Earth rune
1228,A mysterious power emanates from the talisman...,1440,False,1.0,11000.0,4,2.0,Earth talisman.png,Earth talisman
1229,A tiara infused with the properties of the earth.,5535,False,40.0,40.0,100,60.0,Earth tiara.png,Earth tiara
1230,Happy Easter.,1961,False,4.0,50.0,10,6.0,Easter egg.png,Easter egg
1231,Eclectic impling in a jar.,11248,True,20.0,18000.0,50,30.0,Eclectic impling jar.png,Eclectic impling jar
1232,Slightly damp seaweed.,403,True,1.0,13000.0,2,1.0,Edible seaweed.png,Edible seaweed
1233,Aids the user against vampyres.,21140,True,570.0,10000.0,1425,855.0,Efaritay's aid.png,Efaritay's aid
1234,"A blue salt, that when burned with other salts provides various benefits.",22595,True,4.0,10000.0,11,6.0,Efh salt.png,Efh salt
1235,A nice fresh egg.,1944,False,1.0,13000.0,4,2.0,Egg.png,Egg
1236,A bowl of scrambled eggs and tomato.,7064,True,4.0,13000.0,12,7.0,Egg and tomato.png,Egg and tomato
1237,A baked potato with egg and tomato.,7056,True,4.0,13000.0,12,7.0,Egg potato.png,Egg potato
1238,A large whisk of death.,7435,True,20.0,50.0,50,30.0,Egg whisk.png,Egg whisk
1239,The hood worn by the dangerous elder druids.,20595,True,200.0,8.0,500,300.0,Elder chaos hood.png,Elder chaos hood
1240,The robes worn by the dangerous elder druids.,20520,True,280.0,8.0,700,420.0,Elder chaos robe.png,Elder chaos robe
1241,The robes worn by the dangerous elder druids.,20517,True,320.0,8.0,800,480.0,Elder chaos top.png,Elder chaos top
1242,A maul crafted from the component parts of Tekton.,21003,True,200004.0,8.0,500010,300006.0,Elder maul.png,Elder maul
1243,"An ancient magical orb, corrupted by darkness.",24517,True,1.0,,1,1.0,Eldritch orb.png,Eldritch orb
1244,A magic helmet.,9729,True,8.0,70.0,20,12.0,Elemental helmet.png,Elemental helmet
1245,A magic shield.,2890,True,8.0,70.0,20,12.0,Elemental shield.png,Elemental shield
1246,How does it all fit in there?,8626,True,4.0,500.0,10,6.0,Elemental sphere (flatpack).png,Elemental sphere (flatpack)
1247,A mysterious power emanates from the talisman...,5516,True,200.0,40.0,500,300.0,Elemental talisman.png,Elemental talisman
1248,Decorative elven boots.,24003,True,4000.0,125.0,10000,6000.0,Elven boots.png,Elven boots
1249,It seems to have a little sparkle to it.,23948,True,2.0,,6,3.0,Elven dawn.png,Elven dawn
1250,Decorative elven gloves.,24006,True,4000.0,,10000,6000.0,Elven gloves.png,Elven gloves
1251,Clothing from the elven city of Prifddinas.,24024,False,2000.0,,5000,3000.0,Elven legwear.png,Elven legwear
1252,A signet ring with some elven markings.,23943,True,12000.0,,30000,18000.0,Elven signet.png,Elven signet
1253,Clothing from the elven city of Prifddinas.,24018,False,2000.0,,5000,3000.0,Elven skirt (white).png,Elven skirt (white)
1254,Clothing from the elven city of Prifddinas.,24012,False,2000.0,,5000,3000.0,Elven skirt (yellow).png,Elven skirt (yellow)
1255,Clothing from the elven city of Prifddinas.,24027,False,2000.0,,5000,3000.0,Elven top (white vest).png,Elven top (white vest)
1256,Clothing from the elven city of Prifddinas.,24015,False,2000.0,,5000,3000.0,Elven top (white).png,Elven top (white)
1257,Clothing from the elven city of Prifddinas.,24021,False,2000.0,,5000,3000.0,Elven top (yellow vest).png,Elven top (yellow vest)
1258,Clothing from the elven city of Prifddinas.,24009,False,2000.0,,5000,3000.0,Elven top (yellow).png,Elven top (yellow)
1259,A sigil in the shape of an elysian symbol.,12819,True,300000.0,5.0,750000,450000.0,Elysian sigil.png,Elysian sigil
1260,An ethereal shield with an elysian sigil attached to it.,12817,True,800000.0,8.0,2000000,1200000.0,Elysian spirit shield.png,Elysian spirit shield
1261,This looks valuable.,1605,False,200.0,13000.0,500,300.0,Emerald.png,Emerald
1262,I wonder if I can get this enchanted.,1696,False,510.0,10000.0,1275,765.0,Emerald amulet.png,Emerald amulet
1263,It needs a string so I can wear it.,1677,False,510.0,10000.0,1275,765.0,Emerald amulet (u).png,Emerald amulet (u)
1264,Emerald bolt tips.,9190,True,13.0,11000.0,33,19.0,Emerald bolt tips 5.png,Emerald bolt tips
1265,Emerald tipped Mithril crossbow bolts.,9338,True,21.0,11000.0,53,31.0,Emerald bolts 5.png,Emerald bolts
1266,Enchanted Emerald tipped Mithril Crossbow Bolts.,9241,True,23.0,11000.0,59,35.0,Emerald bolts (e) 5.png,Emerald bolts (e)
1267,I wonder if this is valuable.,11076,True,610.0,10000.0,1525,915.0,Emerald bracelet.png,Emerald bracelet
1268,"Dragon crossbow bolts, tipped with emerald.",21965,True,320.0,11000.0,800,480.0,Emerald dragon bolts 5.png,Emerald dragon bolts
1269,"Enchanted Dragon crossbow bolts, tipped with emerald.",21942,True,332.0,11000.0,830,498.0,Emerald dragon bolts (e) 5.png,Emerald dragon bolts (e)
1270,I wonder if this is valuable.,1658,False,570.0,18000.0,1425,855.0,Emerald necklace.png,Emerald necklace
1271,A valuable ring.,1639,False,510.0,10000.0,1275,765.0,Emerald ring.png,Emerald ring
1272,Put a candle in to complete it.,4527,True,4.0,10000.0,10,6.0,Empty candle lantern.png,Empty candle lantern
1273,An empty cup.,1980,True,1.0,13000.0,2,1.0,Empty cup.png,Empty cup
1274,An empty fishbowl.,6667,True,1.0,100.0,1,1.0,Empty fishbowl.png,Empty fishbowl
1275,An oil lamp with no oil in it.,4525,True,10.0,10000.0,25,15.0,Empty oil lamp.png,Empty oil lamp
1276,Put oil in to complete it.,4535,True,48.0,10000.0,120,72.0,Empty oil lantern.png,Empty oil lantern
1277,An empty plant pot.,5350,True,1.0,10000.0,1,1.0,Empty plant pot.png,Empty plant pot
1278,An empty vegetable sack.,5418,True,1.0,10000.0,1,1.0,Empty sack.png,Empty sack
1279,A tablet containing a magic spell.,8019,True,1.0,10000.0,1,1.0,Enchant diamond.png,Enchant diamond
1280,A tablet containing a magic spell.,8020,True,1.0,10000.0,1,1.0,Enchant dragonstone.png,Enchant dragonstone
1281,A tablet containing a magic spell.,8017,True,1.0,10000.0,1,1.0,Enchant emerald or jade.png,Enchant emerald or jade
